,Business_Name,BusinessContact_FirstName,BusinessContact_LastName,Business_City,Business_State,PrimaryNAICSCode,Business_ClientID
2,"1 Stop Design Shop, Inc.",Christine,Hennigan,Woburn,MA,"541430, 541890, 424320, 424330, 454111, 519130, 323111, 541511, 541613, 541921, 424120, 518210",20050182
3,"1 Stop Design Shop, Inc.",Christine,Hennigan,Woburn,MA,"541430, 541890, 424320, 424330, 454111, 519130, 323111, 541511, 541613, 541921, 424120, 518210",20050182
6,"1854, LLC",Brandale,Randolph,Framingham,MA,,20180275
8,"21ST Century Home Care, Inc.",Judith,Joseph,Canton,MA,624120,20060119
9,"2ndPath Energy, LLC",Heather,Takle,Bolton,MA,541690,20180226
10,"2ndPath Energy, LLC",Heather,Takle,Bolton,MA,541690,20180226
12,"3iVE, LLC",David T.,De Sola,Somerville,MA,541310,20090203
13,"3iVE, LLC",David T.,De Sola,Somerville,MA,541310,20090203
15,"813 Consultants, LLC",Kristen,Harrington,Boston,MA,"541612, 541214",20150242
16,"813 Consultants, LLC",Kristen,Harrington,Boston,MA,"541612, 541214",20150242
17,"A & A Commercial Cleaning, Inc.",Olinda,Aguirre Argueta,Gloucester,MA,561720,20170233
18,"A & D Construction Service, Corp",Rosemary,Ruiz,Revere,MA,"236118, 238310, 238350, 238330, 561720, 561730",20160283
19,"A & J Demolition Services, Corporation",Raul,Polanco,Lawrence,MA,"562910, 238910",20080297
23,"A Better Tomorrow Services, Inc.",Emmanuel,Exilhomme,Everett,MA,"611630, 624210",20100233
26,A Johns John,John,Matthews,Charlestown,MA,"562111, 562991",20180086
27,"A Martins & Son Construction, Inc.",Antonio,Martins,Ludlow,MA,237310,20040001
28,"A Martins & Son Construction, Inc.",Antonio,Martins,Ludlow,MA,237310,20040001
29,"A Yard and A Half Landscaping Cooperative, Inc.",Carolyn,Edsell-Vetter,Waltham,MA,"541320, 561730",20150063
30,A&L Construction Corp.,Angel,Lopez,Danvers,MA,,20180253
32,"A. Pereira Construction Company, Inc.",Amandio,Pereira,Ludlow,MA,"237310, 237110",19880045
33,"A. Pereira Construction Company, Inc.",Amandio,Pereira,Ludlow,MA,"237310, 237110",19880045
37,"A.R. Belli, Inc.",Cynthia,Sementelli,Newtonville,MA,"238910, 423320, 238990, 237310, 238140",19960164
38,"A.R. Belli, Inc.",Cynthia,Sementelli,Newtonville,MA,"238910, 423320, 238990, 237310, 238140",19960164
39,"A.R. Plante Land Clearing & Excavation, LLC",Katelynn,Plante,Bridgewater,MA,238910,20140103
40,"A.R. Plante Land Clearing & Excavation, LLC",Katelynn,Plante,Bridgewater,MA,238910,20140103
42,"AA Cleaning Company, Inc.",Simony,Allen,Marborough,MA,"561720, 238990",20090138
43,"AA Fire Protection, LLC",Jose L.,Rosario,Springfield,MA,238220,20150293
44,"AA Fire Protection, LLC",Jose L.,Rosario,Springfield,MA,238220,20150293
45,"Abatement Pro and Demo, Inc.",Eurinson,Feliz,Lawrence,MA,,20180254
46,"ABC Soils, Inc.",Marcia J.,Berger,Sudbury,MA,"541330, 541380, 562910",20020110
47,"ABC Soils, Inc.",Marcia J.,Berger,Sudbury,MA,"541330, 541380, 562910",20020110
51,"Able Industrial Sweeping, Inc.",Warren,Edmonds,Rehoboth,MA,"484110, 484220, 488490, 238990, 237310",20070101
52,"Able Industrial Sweeping, Inc.",Warren,Edmonds,Rehoboth,MA,"484110, 484220, 488490, 238990, 237310",20070101
54,"Abridge Info Systems, Inc.",Abhijit,Deshmukh,Chelmsford,MA,541512,20110005
60,Absolute Value Management,Collin H.,Lord,Boston,MA,"531311, 531320",20160042
62,"ACA Computer Integrator, Inc.",Roosevelt,Allen,Framingham,MA,"541513, 541511, 541512",20060192
63,"ACA Computer Integrator, Inc.",Roosevelt,Allen,Framingham,MA,"541513, 541511, 541512",20060192
65,"Acada Communications, LLC",Beverly,English,Kingston,MA,238210,20080377
66,"Acada Communications, LLC",Beverly,English,Kingston,MA,238210,20080377
67,"Accord Vending, Inc.",Manuel F.,Rosa,Plymouth,MA,532289,19920099
68,"Accordia Partners, LLC",Kirk A.,Sykes,Boston,MA,531390,20150074
69,"Accurety, LLC",Adeline,Matton,Beverly,MA,"531210, 531320",20120219
70,"Accurety, LLC",Adeline,Matton,Beverly,MA,"531210, 531320",20120219
71,"ACE Medical Services, Inc.",Michael,Chege,Worcester,MA,561320,20070185
72,"Aciron Consulting, Inc.",Puneet,Gangal,Cambridge,MA,541512,20170137
73,"Aclem Cleaning Service, Inc.",Adriana,Avalo,Lawrence,MA,561720,20180154
74,"Acme Abatement Contractor, Inc.",Seng An,Meas,Seekonk,MA,562910,20050235
75,"Acme Abatement Contractor, Inc.",Seng An,Meas,Seekonk,MA,562910,20050235
79,"ACP Facility Services, Inc.",Filomena,Homem,Woburn,MA,"561740, 561720",20010044
80,"ACT Services, Corp.",Catherine,Thibodeau,Fitchburg,MA,561720,20150252
81,"ACT Services, Corp.",Catherine,Thibodeau,Fitchburg,MA,561720,20150252
82,"ACT Services, Corp.",Catherine,Thibodeau,Fitchburg,MA,561720,20150252
83,"Action For Boston Community Development, Inc. (ABCD)",John J.,Drew,Boston,MA,926110,19850063
86,AD Contracting Services Corp,Alfredo,Arias,Methuen,MA,"238910, 561720, 238990",20160208
87,Ad Hoc Industries,Scarlett,Bartlett,Medford,MA,,20190106
88,"Adcotron EMS, Inc.",Agnes,Young,Boston,MA,334418,20060007
89,"ADEP Group, Inc.",Kelvin,Severino,Lawrence,MA,,20190056
90,"Adonai Spring Water, Inc.",Gloria,Olatunji,Randolph,MA,424490,20150298
91,Adonis Consulting Group,Dimitry,Adonis,Avon,MA,,20190010
92,"Adroit Software, Inc.",Rajay,Goyal,Shrewsbury,MA,"541511, 541513, 541519",20070058
