prime_award_unique_key,prime_award_piid,prime_award_parent_piid,prime_award_amount,prime_award_base_action_date,prime_award_base_action_date_fiscal_year,prime_award_awarding_agency_code,prime_award_awarding_agency_name,prime_award_awarding_sub_agency_code,prime_award_awarding_sub_agency_name,prime_award_awarding_office_code,prime_award_awarding_office_name,prime_award_funding_agency_code,prime_award_funding_agency_name,prime_award_funding_sub_agency_code,prime_award_funding_sub_agency_name,prime_award_funding_office_code,prime_award_funding_office_name,prime_award_treasury_accounts_funding_this_award,prime_award_federal_accounts_funding_this_award,prime_awardee_duns,prime_awardee_name,prime_awardee_dba_name,prime_awardee_parent_duns,prime_awardee_parent_name,prime_awardee_country_code,prime_awardee_country_name,prime_awardee_address_line_1,prime_awardee_city_name,prime_awardee_state_code,prime_awardee_state_name,prime_awardee_zip_code,prime_awardee_congressional_district,prime_awardee_foreign_postal_code,prime_awardee_business_types,prime_award_primary_place_of_performance_city_name,prime_award_primary_place_of_performance_state_code,prime_award_primary_place_of_performance_state_name,prime_award_primary_place_of_performance_address_zip_code,prime_award_primary_place_of_performance_congressional_district,prime_award_primary_place_of_performance_country_code,prime_award_primary_place_of_performance_country_name,prime_award_description,prime_award_naics_code,prime_award_naics_description,subaward_type,subaward_report_year,subaward_report_month,subaward_number,subaward_amount,subaward_action_date,subaward_action_date_fiscal_year,subawardee_duns,subawardee_name,subawardee_dba_name,subawardee_parent_duns,subawardee_parent_name,subawardee_country_code,subawardee_country_name,subawardee_address_line_1,subawardee_city_name,subawardee_state_code,subawardee_state_name,subawardee_zip_code,subawardee_congressional_district,subawardee_foreign_postal_code,subawardee_business_types,subaward_primary_place_of_performance_address_line_1,subaward_primary_place_of_performance_city_name,subaward_primary_place_of_performance_state_code,subaward_primary_place_of_performance_state_name,subaward_primary_place_of_performance_address_zip_code,subaward_primary_place_of_performance_congressional_district,subaward_primary_place_of_performance_country_code,subaward_primary_place_of_performance_country_name,subaward_description,subawardee_highly_compensated_officer_1_name,subawardee_highly_compensated_officer_1_amount,subawardee_highly_compensated_officer_2_name,subawardee_highly_compensated_officer_2_amount,subawardee_highly_compensated_officer_3_name,subawardee_highly_compensated_officer_3_amount,subawardee_highly_compensated_officer_4_name,subawardee_highly_compensated_officer_4_amount,subawardee_highly_compensated_officer_5_name,subawardee_highly_compensated_officer_5_amount
CONT_AWD_0223_9700_W58RGZ12D0089_9700,223,W58RGZ12D0089,2880848,9/26/13,2013,97,Department of Defense (DOD),2100,DEPT OF THE ARMY,W58RGZ,W6QK ACC-RSA,97,Department of Defense (DOD),2100,DEPT OF THE ARMY,W90BWX,W1DF AVIATION-MISSILE RDEC,,,967162251,REDSTONE DEFENSE SYSTEMS,,,,USA,UNITED STATES,631 DISCOVERY DR NW,HUNTSVILLE,AL,,358062801,5,,"Alaskan Native Corporation Owned Firm,Contracts and Grants,For-Profit Organization,Minority-Owned business,Native American Owned,SBA Certified 8(a) Joint Venture",Huntsville,AL,,358062801,5,USA,UNITED STATES,OEP 15371,336413,OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,sub-contract,2013,10,R13PP02840,497944,10/24/13,2014,803388649,"HYDROID, INC.",,803388649,"HYDROID, INC.",USA,UNITED STATES,6 BENJAMIN NYE CIR,POCASSET,MA,,25594900,10,,"Contracts and Grants,For-Profit Organization,Manufacturer of Goods",,POCASSET,MA,,25594900,10,USA,UNITED STATES,NAVO OPS MATERIAL,,,,,,,,,,
CONT_AWD_6V01_9700_FA873214D0005_9700,6V01,FA873214D0005,47762.78,9/11/15,2015,97,Department of Defense (DOD),5700,DEPT OF THE AIR FORCE,FA4484,FA4484  87 CONS LGC,97,Department of Defense (DOD),5700,DEPT OF THE AIR FORCE,F3A3L3,87 CS CSB,,,556054591,"FORCE 3, INC.",,556054591,"FORCE 3, INC.",USA,UNITED STATES,2151 PRIEST BRIDGE DR STE 7,CROFTON,MD,,211142478,5,,"Contracts and Grants,For-Profit Organization,Hispanic American Owned,Minority-Owned business",JOINT BASE MDL,NJ,,86411101,3,USA,UNITED STATES,IGF::OT::IGF  COOP HARDWARE EQUIPMENT,334210,TELEPHONE APPARATUS MANUFACTURING,sub-contract,2015,9,PO-014255,46282,10/15/15,2016,97447148,EMC CORPORATION,,97447148,EMC CORPORATION,USA,UNITED STATES,176 SOUTH ST,HOPKINTON,MA,,17482209,3,,"Contracts and Grants,For-Profit Organization,Manufacturer of Goods",,Hopkinton,MA,,17482209,3,USA,UNITED STATES,To fulfill the Government's purchase order for IT equipment.,,,,,,,,,,
CONT_AWD_GSQ0015AJ0027_4732_GS00Q09BGD0050_4735,GSQ0015AJ0027,GS00Q09BGD0050,377086030,1/16/15,2015,47,General Services Administration (GSA),4732,FEDERAL ACQUISITION SERVICE,47QFCA,GSA FAS AAS FEDSIM,97,Department of Defense (DOD),1700,DEPT OF THE NAVY,N00421,NAVAL AIR WARFARE CENTER AIR DIV,047-X-4534-001,047-4534,965091606,"SMARTRONIX, INC.",,965091606,"SMARTRONIX, INC.",USA,UNITED STATES,44150 SMARTRONIX WAY,HOLLYWOOD,MD,Maryland,206363172,5,,,Hollywood,MD,Maryland,206363172,5,USA,UNITED STATES,IGF::OT::IGF,541512,COMPUTER SYSTEMS DESIGN SERVICES,sub-contract,2018,11,17R20ST2D,209760,11/7/18,2019,967026857,"SOFTWORLD, INC.",,967026857,"SOFTWORLD, INC.",USA,UNITED STATES,281 WINTER ST STE 301,WALTHAM,MA,Massachusetts,24512007,7,,"For-Profit Organization,S Corporation",,Waltham,MA,Massachusetts,24512007,7,USA,UNITED STATES,"The subcontractor will be working directly with the government led engineering and integration team providing technical services in support of software engineering, development, prototyping and software sustainment activities at NAS Patuxent River, MD. The subcontractor will support the NAWC and provide planning, research analysis, prototyping, proof of concept demonstrations, system and software engineering and integration, system testing and evaluation, system deployment and system security support for on and off board Naval aircraft, rotary wing and unmanned air vehicle systems as required.",,,,,,,,,,
CONT_AWD_R505_9700_FA664308D0003_9700,R505,FA664308D0003,323490,8/26/10,2010,97,Department of Defense (DOD),5700,DEPT OF THE AIR FORCE,FA6606,FA6606  439 CONF LGC,97,Department of Defense (DOD),5700,DEPT OF THE AIR FORCE,F67100,ACCTG DISB STA NR 667100,,,57409740,GEO-MARINE INC,,57409740,"GEO-MARINE, INC.",USA,UNITED STATES,2201 K AVENUE SUITE A2,PLANO,TX,,750745977,3,,"Contracts,For-Profit Organization",Chicoppee,MA,,10221507,2,USA,UNITED STATES,"YTPM 03-0048, REPAIR BASE SIGNAGE, JCN R50014",236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,sub-contract,2012,1,2589,246995,9/27/10,2010,1119577,"AGNOLI SIGN COMPANY, INC.",,,,USA,UNITED STATES,722 WORTHINGTON ST,SPRINGFIELD,MA,,11051115,2,,"Contracts,For-Profit Organization,Manufacturer of Goods",,Chicoppee,MA,,10221818,2,USA,UNITED STATES,Install signage at Westover ARB.,,,,,,,,,,
CONT_AWD_0012_9700_W911KF12D0010_9700,12,W911KF12D0010,4129516,12/20/13,2014,97,Department of Defense (DOD),2100,DEPT OF THE ARMY,W911KF,W0LX ANNISTON DEPOT PROP DIV,97,Department of Defense (DOD),2100,DEPT OF THE ARMY,W911KF,W0LX ANNISTON DEPOT PROP DIV,,,967162251,REDSTONE DEFENSE SYSTEMS,,,,USA,UNITED STATES,631 DISCOVERY DR NW,HUNTSVILLE,AL,,358062801,5,,"Alaskan Native Corporation Owned Firm,Contracts and Grants,For-Profit Organization,Minority-Owned business,Native American Owned,Self-Certified Small Disadvantaged Business",Huntsville,AL,,358062801,5,USA,UNITED STATES,TALON IV LOGISTICS MANAGEMENT INFO AWARD,336992,"MILITARY ARMORED VEHICLE, TANK, AND TANK COMPONENT MANUFACTURING",sub-contract,2015,9,12,46616,9/23/15,2015,19677178,"FOSTER-MILLER, INC",QINETIQ NORTH AMERICA,221356285,QINETIQ HOLDINGS LTD,USA,UNITED STATES,350 SECOND AVE,WALTHAM,MA,,24511104,7,,"Contracts and Grants,For-Profit Organization,Manufacturer of Goods",,Waltham,MA,,24511196,7,USA,UNITED STATES,Development of Operator and Maintenance Manuals for Small Unmanned Ground Robots,,,,,,,,,,
CONT_AWD_0725_9700_W58RGZ12D0089_9700,725,W58RGZ12D0089,4167070,9/29/17,2017,97,Department of Defense (DOD),2100,DEPT OF THE ARMY,W58RGZ,W6QK ACC-RSA,97,Department of Defense (DOD),1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,,,967162251,REDSTONE DEFENSE SYSTEMS,,,,USA,UNITED STATES,631 DISCOVERY DR NW,HUNTSVILLE,AL,Alabama,358062801,5,,,HUNTSVILLE,AL,Alabama,358062801,5,USA,UNITED STATES,"IGF::OT::IGF NEW ORDER 0725 IN ACCORDANCE WITH THE SOW, DATED 19 SEPTEMBER 2017, THE PROTOTYPE INTEGRATION FACILITY (PIF) DEFINES THE REQUIREMENT TO PROVIDE FORTY-FIVE (45) AURS MK112 MOD2S IN ACCORDANCE WITH (IAW) DRAWING NUMBER 8242774 AND FORTY-FIVE (45) AURS MK112 MOD2S CA 717 CABLE ASSEMBLIES IAW DRAWING NUMBER 5408717. THE CONTRACTOR SHALL PROVIDE AN ADDITIONAL THIRTY-SIX (36) AURS MK112 MOD2S IN ACCORDANCE WITH (IAW) DRAWING NUMBER 8242774. THE CONTRACTOR SHALL PROVIDE EIGHT (8) DLBCS IN ACCORDANCE WITH (IAW) DRAWING NUMBER 7615651 AND THREE (3) VPT CABLES IAW DRAWING NUMBER 8242800. THE CONTRACTOR SHALL PERFORM PRODUCT VERIFICATION INSPECTIONS AND PREPARE PRODUCT VERIFICATION INSPECTION REPORTS FOR ALL CONFIGURATION ITEMS IAW DI-MISC-80508/T.",336413,OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,sub-contract,2019,2,R18PP05509,52950.48,12/5/18,2019,804407653,"DESIGN MARK INDUSTRIES,INC.",DESIGN MARK,116863695,Nfi Corp.,USA,UNITED STATES,3 KENDRICK RD,WAREHAM,MA,Massachusetts,25711077,4,,"For-Profit Organization,Manufacturer of Goods,S Corporation",,WAREHAM,MA,Massachusetts,25711077,4,USA,UNITED STATES,MATERIALS IN SUPPORT OF THE RDS CONTRACT.,,,,,,,,,,
CONT_AWD_0725_9700_W58RGZ12D0089_9700,725,W58RGZ12D0089,4167070,9/29/17,2017,97,Department of Defense (DOD),2100,DEPT OF THE ARMY,W58RGZ,W6QK ACC-RSA,97,Department of Defense (DOD),1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,,,967162251,REDSTONE DEFENSE SYSTEMS,,,,USA,UNITED STATES,631 DISCOVERY DR NW,HUNTSVILLE,AL,Alabama,358062801,5,,,HUNTSVILLE,AL,Alabama,358062801,5,USA,UNITED STATES,"IGF::OT::IGF NEW ORDER 0725 IN ACCORDANCE WITH THE SOW, DATED 19 SEPTEMBER 2017, THE PROTOTYPE INTEGRATION FACILITY (PIF) DEFINES THE REQUIREMENT TO PROVIDE FORTY-FIVE (45) AURS MK112 MOD2S IN ACCORDANCE WITH (IAW) DRAWING NUMBER 8242774 AND FORTY-FIVE (45) AURS MK112 MOD2S CA 717 CABLE ASSEMBLIES IAW DRAWING NUMBER 5408717. THE CONTRACTOR SHALL PROVIDE AN ADDITIONAL THIRTY-SIX (36) AURS MK112 MOD2S IN ACCORDANCE WITH (IAW) DRAWING NUMBER 8242774. THE CONTRACTOR SHALL PROVIDE EIGHT (8) DLBCS IN ACCORDANCE WITH (IAW) DRAWING NUMBER 7615651 AND THREE (3) VPT CABLES IAW DRAWING NUMBER 8242800. THE CONTRACTOR SHALL PERFORM PRODUCT VERIFICATION INSPECTIONS AND PREPARE PRODUCT VERIFICATION INSPECTION REPORTS FOR ALL CONFIGURATION ITEMS IAW DI-MISC-80508/T.",336413,OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,sub-contract,2019,2,R18PP00485,43762.95,2/2/18,2018,148539203,"AIRBORN ELECTRONICS, INC.",AESCO MANUFACTURING SERVICES,41070749,"AIRBORN ELECTRONICS, INC.",USA,UNITED STATES,355 CONSTITUTION DR,TAUNTON,MA,Massachusetts,27807355,4,,"For-Profit Organization,Manufacturer of Goods",,TAUNTON,MA,Massachusetts,27807355,4,USA,UNITED STATES,Materials in support of the RDS contract.,,,,,,,,,,
CONT_AWD_0725_9700_W58RGZ12D0089_9700,725,W58RGZ12D0089,4167070,9/29/17,2017,97,Department of Defense (DOD),2100,DEPT OF THE ARMY,W58RGZ,W6QK ACC-RSA,97,Department of Defense (DOD),1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,,,967162251,REDSTONE DEFENSE SYSTEMS,,,,USA,UNITED STATES,631 DISCOVERY DR NW,HUNTSVILLE,AL,Alabama,358062801,5,,,HUNTSVILLE,AL,Alabama,358062801,5,USA,UNITED STATES,"IGF::OT::IGF NEW ORDER 0725 IN ACCORDANCE WITH THE SOW, DATED 19 SEPTEMBER 2017, THE PROTOTYPE INTEGRATION FACILITY (PIF) DEFINES THE REQUIREMENT TO PROVIDE FORTY-FIVE (45) AURS MK112 MOD2S IN ACCORDANCE WITH (IAW) DRAWING NUMBER 8242774 AND FORTY-FIVE (45) AURS MK112 MOD2S CA 717 CABLE ASSEMBLIES IAW DRAWING NUMBER 5408717. THE CONTRACTOR SHALL PROVIDE AN ADDITIONAL THIRTY-SIX (36) AURS MK112 MOD2S IN ACCORDANCE WITH (IAW) DRAWING NUMBER 8242774. THE CONTRACTOR SHALL PROVIDE EIGHT (8) DLBCS IN ACCORDANCE WITH (IAW) DRAWING NUMBER 7615651 AND THREE (3) VPT CABLES IAW DRAWING NUMBER 8242800. THE CONTRACTOR SHALL PERFORM PRODUCT VERIFICATION INSPECTIONS AND PREPARE PRODUCT VERIFICATION INSPECTION REPORTS FOR ALL CONFIGURATION ITEMS IAW DI-MISC-80508/T.",336413,OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,sub-contract,2019,2,R18PP05761,264766.59,1/8/19,2019,148539203,"AIRBORN ELECTRONICS, INC.",AESCO MANUFACTURING SERVICES,41070749,"AIRBORN ELECTRONICS, INC.",USA,UNITED STATES,355 CONSTITUTION DR,TAUNTON,MA,Massachusetts,27807355,4,,"For-Profit Organization,Manufacturer of Goods",,TAUNTON,MA,Massachusetts,27807355,4,USA,UNITED STATES,MATERIALS IN SUPPORT OF THE RDS CONTRACT.,,,,,,,,,,
CONT_AWD_0725_9700_W58RGZ12D0089_9700,725,W58RGZ12D0089,4167070,9/29/17,2017,97,Department of Defense (DOD),2100,DEPT OF THE ARMY,W58RGZ,W6QK ACC-RSA,97,Department of Defense (DOD),1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,,,967162251,REDSTONE DEFENSE SYSTEMS,,,,USA,UNITED STATES,631 DISCOVERY DR NW,HUNTSVILLE,AL,Alabama,358062801,5,,,HUNTSVILLE,AL,Alabama,358062801,5,USA,UNITED STATES,"IGF::OT::IGF NEW ORDER 0725 IN ACCORDANCE WITH THE SOW, DATED 19 SEPTEMBER 2017, THE PROTOTYPE INTEGRATION FACILITY (PIF) DEFINES THE REQUIREMENT TO PROVIDE FORTY-FIVE (45) AURS MK112 MOD2S IN ACCORDANCE WITH (IAW) DRAWING NUMBER 8242774 AND FORTY-FIVE (45) AURS MK112 MOD2S CA 717 CABLE ASSEMBLIES IAW DRAWING NUMBER 5408717. THE CONTRACTOR SHALL PROVIDE AN ADDITIONAL THIRTY-SIX (36) AURS MK112 MOD2S IN ACCORDANCE WITH (IAW) DRAWING NUMBER 8242774. THE CONTRACTOR SHALL PROVIDE EIGHT (8) DLBCS IN ACCORDANCE WITH (IAW) DRAWING NUMBER 7615651 AND THREE (3) VPT CABLES IAW DRAWING NUMBER 8242800. THE CONTRACTOR SHALL PERFORM PRODUCT VERIFICATION INSPECTIONS AND PREPARE PRODUCT VERIFICATION INSPECTION REPORTS FOR ALL CONFIGURATION ITEMS IAW DI-MISC-80508/T.",336413,OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,sub-contract,2019,2,R18PP00479,532619.63,2/2/18,2018,148539203,"AIRBORN ELECTRONICS, INC.",AESCO MANUFACTURING SERVICES,41070749,"AIRBORN ELECTRONICS, INC.",USA,UNITED STATES,355 CONSTITUTION DR,TAUNTON,MA,Massachusetts,27807355,4,,"For-Profit Organization,Manufacturer of Goods",,Taunton,MA,Massachusetts,27807355,4,USA,UNITED STATES,Materials in support of the RDs contract.,,,,,,,,,,
CONT_AWD_0725_9700_W58RGZ12D0089_9700,725,W58RGZ12D0089,4167070,9/29/17,2017,97,Department of Defense (DOD),2100,DEPT OF THE ARMY,W58RGZ,W6QK ACC-RSA,97,Department of Defense (DOD),1700,DEPT OF THE NAVY,N00024,NAVSEA HQ,,,967162251,REDSTONE DEFENSE SYSTEMS,,,,USA,UNITED STATES,631 DISCOVERY DR NW,HUNTSVILLE,AL,Alabama,358062801,5,,,HUNTSVILLE,AL,Alabama,358062801,5,USA,UNITED STATES,"IGF::OT::IGF NEW ORDER 0725 IN ACCORDANCE WITH THE SOW, DATED 19 SEPTEMBER 2017, THE PROTOTYPE INTEGRATION FACILITY (PIF) DEFINES THE REQUIREMENT TO PROVIDE FORTY-FIVE (45) AURS MK112 MOD2S IN ACCORDANCE WITH (IAW) DRAWING NUMBER 8242774 AND FORTY-FIVE (45) AURS MK112 MOD2S CA 717 CABLE ASSEMBLIES IAW DRAWING NUMBER 5408717. THE CONTRACTOR SHALL PROVIDE AN ADDITIONAL THIRTY-SIX (36) AURS MK112 MOD2S IN ACCORDANCE WITH (IAW) DRAWING NUMBER 8242774. THE CONTRACTOR SHALL PROVIDE EIGHT (8) DLBCS IN ACCORDANCE WITH (IAW) DRAWING NUMBER 7615651 AND THREE (3) VPT CABLES IAW DRAWING NUMBER 8242800. THE CONTRACTOR SHALL PERFORM PRODUCT VERIFICATION INSPECTIONS AND PREPARE PRODUCT VERIFICATION INSPECTION REPORTS FOR ALL CONFIGURATION ITEMS IAW DI-MISC-80508/T.",336413,OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,sub-contract,2019,2,R18PP00479,24422.06,2/6/18,2018,148539203,"AIRBORN ELECTRONICS, INC.",AESCO MANUFACTURING SERVICES,41070749,"AIRBORN ELECTRONICS, INC.",USA,UNITED STATES,355 CONSTITUTION DR,TAUNTON,MA,Massachusetts,27807355,4,,"For-Profit Organization,Manufacturer of Goods",,Taunton,MA,Massachusetts,27807355,4,USA,UNITED STATES,Materials in support of the RDS contract.,,,,,,,,,,
